record_id,binary_label,label_raw,article_id,keyword,country,text,y_true,prob_pos,y_pred,mistake_strength
9341,0,"[0, 0, 0, 0, 0, 0, 0]",4550754,poor-families,jm,""" T-Bird was observant but soft spoken . Only among his friends would you hear him involved in loud talking . He was very caring and he did not allow anyone to change his character and style . He stood for high principles even if it meant he would stand alone . He showed love and respect to all those around him . He was the Godfather for most of the poor families in the community and was always the provider for his family , "" Dillon said .",0,0.9722944,1,0.9722944
8838,0,"[0, 0, 0, 0, 0, 0, 0]",18300417,in-need,ph,""" I always consider this job as a gift , being a nurse is a reward and task given by God to help those who are in need . Seeing your patient recover from an illness , watching their families smile when you give them care , and hearing the first cry of a newborn are just some of the things that make my work special . It might be a heavy work but it can lighten your heart , "" she expressed .",0,0.97207344,1,0.97207344
8626,0,"[0, 0, 0, 0, 0, 0, 0]",23832980,in-need,bd,""" Your personal leadership has been critical to addressing the plight of the Rohingya who fled to safety in your country . I thank you for all you have done to assist these men , women and children in need , "" he wrote in the message .",0,0.9711766,1,0.9711766
9549,0,"[0, 0, 0, 0, 0, 0, 0]",17320278,poor-families,ng,"Usually children of poor families remember their parents ' struggles and become generous to them as poverty early in life drove them to success . It is the children of the rich that feel a sense of entitlement that mostly becomes ungrateful to their parents . The same children that inflated their school fees and shared it equally with the bursar , regardless of their fathers ' sweat on the farm .",0,0.96903944,1,0.96903944
9687,0,"[0, 0, 0, 0, 0, 0, 0]",21886360,poor-families,pk,"In his condolence message , he said , "" All our sympathies are with the poor families as we are standing in cohesion with the Egyptian government and the people in this hour of grief . """,0,0.9687742,1,0.9687742
10031,0,"[0, 0, 0, 0, 0, 0, 0]",30099731,in-need,za,"Adopt a Mission serves as a platform for the church and for likeminded people to reach out to unemployed families in the communities -- whoever is in need . "" <h> The forgotten people of Brooklyn",0,0.9681312,1,0.9681312
9840,0,"[0, 0, 0, 0, 0, 0, 0]",10295088,hopeless,jm,""" Is it the bad gas , the ZIKV , is it the joblessness , the hopelessness , the poverty ? What has changed to make the fortunes of this incompetent , wicked , uncaring , insensitive government be showing up or showing signs ? """,0,0.9669757,1,0.9669757
9423,0,"[0, 0, 0, 0, 0, 0, 0]",16072568,in-need,in,"Christmas is celebration of the birth of not merely a child , but a child who changed the destiny of humans forever . It is celebration of the fact that God wanted to be a part of the human race and so he took on flesh and blood and became human like us . We can also show unconditional love through our good deeds and helping those who are in need of our help and care . Be human and merciful .",0,0.9631281,1,0.9631281
8744,0,"[0, 0, 0, 0, 0, 0, 0]",26143846,homeless,in,"Black grew up in the neighbourhood around the church , where he would eat Franklin 's cooking at lavish meals she provided for the community and the homeless each Thanksgiving and Christmas . "" She made the best oxtail soup , with that cornbread , and it was to die for , "" he recalled . "" It would be so much food that you would n't know what to do . """,0,0.9584192,1,0.9584192
9130,0,"[0, 0, 0, 0, 0, 0, 0]",23109169,vulnerable,ng,"In another development , Eiremiokhae was also bestowed with a Humanitarian Award by the Trinity International University of Ambassadors also in Georgia for his works of charity and care for widows and the vulnerable .",0,0.95767885,1,0.95767885
8610,0,"[0, 0, 0, 0, 0, 0, 0]",24838996,in-need,ph,"Dacawi practically pioneered the concept of civic or community journalism in the city by writing on the plight of indigent patients , other people in need and worthwhile causes that moved people to respond .",0,0.9570824,1,0.9570824
9411,0,"[0, 0, 0, 0, 0, 0, 0]",9977503,in-need,ph,""" The boxing community is wonderful at helping those in need , today is a prime example .",0,0.95304936,1,0.95304936
8978,0,"[0, 0, 0, 0, 0, 0, 0]",8413923,in-need,my,"Jesus begins his teaching in Matthew with the Sermon on the Mount . One group he blesses is those in need of comfort , Blessed are they who mourn , for they will be comforted ( Mt 5:4 ) .",0,0.9515714,1,0.9515714
10200,0,"[0, 0, 0, 0, 0, 0, 0]",24298901,refugee,in,"She also praised the efforts to stabilise the lives of refugees , by providing for their basic needs and helping them overcome their challenges , while stressing that supporting refugees is an ongoing part of the UAE 's humanitarian directives , and the country has taken the responsibility to evaluate their needs and provide them with a variety of urgent and essential aid .",0,0.9504989,1,0.9504989
9362,0,"[0, 0, 0, 0, 0, 0, 0]",3042843,homeless,us,"But he said when the company sent him his refund , they 're going to give all of the money to a group in Columbus that helps the homeless . "" We 're just going to donate it directly to that group and let them help other homeless people , because that 's what was intended to happen , "" he said .",0,0.94855416,1,0.94855416
9540,0,"[0, 0, 0, 0, 0, 0, 0]",19156285,in-need,gb,"She added : "" I am really happy with the awards , but I just want to help those in need . """,0,0.94751436,1,0.94751436
