record_id,binary_label,label_raw,article_id,keyword,country,text,y_true,prob_pos,y_pred,mistake_strength
9687,0,"[0, 0, 0, 0, 0, 0, 0]",21886360,poor-families,pk,"In his condolence message , he said , "" All our sympathies are with the poor families as we are standing in cohesion with the Egyptian government and the people in this hour of grief . """,0,0.9981154,1,0.9981154
8626,0,"[0, 0, 0, 0, 0, 0, 0]",23832980,in-need,bd,""" Your personal leadership has been critical to addressing the plight of the Rohingya who fled to safety in your country . I thank you for all you have done to assist these men , women and children in need , "" he wrote in the message .",0,0.9980868,1,0.9980868
9423,0,"[0, 0, 0, 0, 0, 0, 0]",16072568,in-need,in,"Christmas is celebration of the birth of not merely a child , but a child who changed the destiny of humans forever . It is celebration of the fact that God wanted to be a part of the human race and so he took on flesh and blood and became human like us . We can also show unconditional love through our good deeds and helping those who are in need of our help and care . Be human and merciful .",0,0.99778134,1,0.99778134
8610,0,"[0, 0, 0, 0, 0, 0, 0]",24838996,in-need,ph,"Dacawi practically pioneered the concept of civic or community journalism in the city by writing on the plight of indigent patients , other people in need and worthwhile causes that moved people to respond .",0,0.9975089,1,0.9975089
10000,0,"[0, 0, 0, 0, 0, 0, 0]",4719331,vulnerable,jm,"The University of Technology , Jamaica through its USAID-funded Fi Wi Jamaica Project on international Human Rights Day , Thursday , December 10 , 2015 honoured ten ( 10 ) ? unsung heroes ? and one ( 1 ) institution for their transformative and enduring humanitarian work in influencing the way that Jamaican society values the most vulnerable . The awards were presented at the 2nd Annual Essence of Humanity Ubuntu Awards ceremony held at the PCJ auditorium , New Kingston .",0,0.99742234,1,0.99742234
10031,0,"[0, 0, 0, 0, 0, 0, 0]",30099731,in-need,za,"Adopt a Mission serves as a platform for the church and for likeminded people to reach out to unemployed families in the communities -- whoever is in need . "" <h> The forgotten people of Brooklyn",0,0.9973786,1,0.9973786
9130,0,"[0, 0, 0, 0, 0, 0, 0]",23109169,vulnerable,ng,"In another development , Eiremiokhae was also bestowed with a Humanitarian Award by the Trinity International University of Ambassadors also in Georgia for his works of charity and care for widows and the vulnerable .",0,0.99737287,1,0.99737287
8744,0,"[0, 0, 0, 0, 0, 0, 0]",26143846,homeless,in,"Black grew up in the neighbourhood around the church , where he would eat Franklin 's cooking at lavish meals she provided for the community and the homeless each Thanksgiving and Christmas . "" She made the best oxtail soup , with that cornbread , and it was to die for , "" he recalled . "" It would be so much food that you would n't know what to do . """,0,0.99733055,1,0.99733055
8838,0,"[0, 0, 0, 0, 0, 0, 0]",18300417,in-need,ph,""" I always consider this job as a gift , being a nurse is a reward and task given by God to help those who are in need . Seeing your patient recover from an illness , watching their families smile when you give them care , and hearing the first cry of a newborn are just some of the things that make my work special . It might be a heavy work but it can lighten your heart , "" she expressed .",0,0.9972932,1,0.9972932
9210,0,"[0, 0, 0, 0, 0, 0, 0]",4614087,refugee,bd,"Perhaps one of Lahiri 's most lasting contributions was keeping written records of the conditions of the refugees , with vivid and heart wrenching descriptions of their plight .",0,0.9972747,1,0.9972747
9549,0,"[0, 0, 0, 0, 0, 0, 0]",17320278,poor-families,ng,"Usually children of poor families remember their parents ' struggles and become generous to them as poverty early in life drove them to success . It is the children of the rich that feel a sense of entitlement that mostly becomes ungrateful to their parents . The same children that inflated their school fees and shared it equally with the bursar , regardless of their fathers ' sweat on the farm .",0,0.9969536,1,0.9969536
8978,0,"[0, 0, 0, 0, 0, 0, 0]",8413923,in-need,my,"Jesus begins his teaching in Matthew with the Sermon on the Mount . One group he blesses is those in need of comfort , Blessed are they who mourn , for they will be comforted ( Mt 5:4 ) .",0,0.99679095,1,0.99679095
8918,0,"[0, 0, 0, 0, 0, 0, 0]",21086519,homeless,ph,The homeless pitch in whatever money they have so Yen can cook up a feast .,0,0.99678504,1,0.99678504
9362,0,"[0, 0, 0, 0, 0, 0, 0]",3042843,homeless,us,"But he said when the company sent him his refund , they 're going to give all of the money to a group in Columbus that helps the homeless . "" We 're just going to donate it directly to that group and let them help other homeless people , because that 's what was intended to happen , "" he said .",0,0.9959253,1,0.9959253
8480,0,"[0, 0, 0, 0, 0, 0, 0]",20621234,hopeless,au,""" So we do need to heal ourselves as an Aboriginal Torres Strait islander community , but also as a nation . "" <h> A life of hope , not hopelessness",0,0.99586123,1,0.99586123
9341,0,"[0, 0, 0, 0, 0, 0, 0]",4550754,poor-families,jm,""" T-Bird was observant but soft spoken . Only among his friends would you hear him involved in loud talking . He was very caring and he did not allow anyone to change his character and style . He stood for high principles even if it meant he would stand alone . He showed love and respect to all those around him . He was the Godfather for most of the poor families in the community and was always the provider for his family , "" Dillon said .",0,0.9958191,1,0.9958191
8873,0,"[0, 0, 0, 0, 0, 0, 0]",26012805,poor-families,pk,"On the occasion , Major Fahad also distributed ration among the 40 poor families present at the medical camp . He said that army had been struggling to protect and serve the people of Swat and had stood by them in every troubled hour . People hoped that more such free medical camps would be arranged in the future .",0,0.9953565,1,0.9953565
9411,0,"[0, 0, 0, 0, 0, 0, 0]",9977503,in-need,ph,""" The boxing community is wonderful at helping those in need , today is a prime example .",0,0.9953473,1,0.9953473
10200,0,"[0, 0, 0, 0, 0, 0, 0]",24298901,refugee,in,"She also praised the efforts to stabilise the lives of refugees , by providing for their basic needs and helping them overcome their challenges , while stressing that supporting refugees is an ongoing part of the UAE 's humanitarian directives , and the country has taken the responsibility to evaluate their needs and provide them with a variety of urgent and essential aid .",0,0.9951292,1,0.9951292
9840,0,"[0, 0, 0, 0, 0, 0, 0]",10295088,hopeless,jm,""" Is it the bad gas , the ZIKV , is it the joblessness , the hopelessness , the poverty ? What has changed to make the fortunes of this incompetent , wicked , uncaring , insensitive government be showing up or showing signs ? """,0,0.9941301,1,0.9941301
9082,0,"[0, 0, 0, 0, 0, 0, 0]",18785846,vulnerable,gb,"It 's easy to dismiss the peace and love message as corny and pass ? , but Powers is convincing when she speaks of "" valuing people over things "" , and her beliefs are proven later when I learn of her considerable financial support of Taking it to the Streets , a charity helping vulnerable homeless youths , of whom there are many . ( This is depressing given the torrent of wealth pouring into the city from nearby Silicon Valley . If the Summer of Love set out to end stark inequality in its own community , it appears to have failed , despite the efforts of people like Powers . )",0,0.99385273,1,0.99385273
9351,0,"[0, 0, 0, 0, 0, 0, 0]",8281554,hopeless,my,We seem to have lost our way . And a grim sense of helplessness and hopelessness has cast a hazy gloom across the nation . Our beloved nation is in distress . We all need to take ownership to reclaim the nation and rebuild a nation for our children and the generations to come .,0,0.9925053,1,0.9925053
8655,0,"[0, 0, 0, 0, 0, 0, 0]",7579369,refugee,ke,"E-mail Address : * <h> A clinic called "" Hope "" helps a Syrian refugee boy cope with diabetes",0,0.9920283,1,0.9920283
9543,0,"[0, 0, 0, 0, 0, 0, 0]",20489291,poor-families,au,"Many of the children are from poor families , with parents convinced their children will have a better life at the orphanage , according to Lumos .",0,0.99150604,1,0.99150604
9995,0,"[0, 0, 0, 0, 0, 0, 0]",22517723,hopeless,gh,"In his a New Year message , stated that President Akufo-Addo led government brought economic hardship and hopelessness to Ghanaians in 2017 year under review hence encouraged that the hope is still not lost as the NDC being the social democratic party will come back to power in 2021 to restore the lost hope .",0,0.9911959,1,0.9911959
10268,0,"[0, 0, 0, 0, 0, 0, 0]",24646531,vulnerable,gb,""" This new project will see an active engagement with the community to help improve the lives of vulnerable children and their families . "" <h> ' Enlightened local authorities '",0,0.9910966,1,0.9910966
10090,0,"[0, 0, 0, 0, 0, 0, 0]",24275614,poor-families,ke,""" We have identified extremely poor families , orphaned children , the elderly and those living with HIV/AIDS but with no source of income . We will give them priority to enable them get treated whenever they fall sick , "" he said .",0,0.990655,1,0.990655
9540,0,"[0, 0, 0, 0, 0, 0, 0]",19156285,in-need,gb,"She added : "" I am really happy with the awards , but I just want to help those in need . """,0,0.9905065,1,0.9905065
10251,0,"[0, 0, 0, 0, 0, 0, 0]",16015249,homeless,pk,"Viral photo helping fund homeless kid , his dog",0,0.99013805,1,0.99013805
8689,0,"[0, 0, 0, 0, 0, 0, 0]",10092632,homeless,jm,"Allman Town resident Sonya Wilson ( second left ) , and one of her daughters ( fourth left ) hand out boxed lunches to a group of homeless people on King Street , downtown Kingston , on Thursday .",0,0.9875125,1,0.9875125
8391,0,"[0, 0, 0, 0, 0, 0, 0]",7582986,poor-families,ph,Marcos said the government should help poor families that try every possible means to survive . With Joel Zurbano <h> More from this Category :,0,0.9862801,1,0.9862801
9841,0,"[0, 0, 0, 0, 0, 0, 0]",30077542,refugee,bd,"The past year has not been easy -- neither for the refugees , nor for those assisting them . A process complicated by the knowledge that there is no end in sight to the suffering of the most persecuted community in the world , with diplomatic deals regarding repatriation , having failed time and time again in the past .",0,0.9838166,1,0.9838166
