record_id,binary_label,label_raw,article_id,keyword,country,text,y_true,score,y_pred,mistake_strength
2918,1,"[1, 0, 0, 0, 1, 1, 0]",25173194,migrant,pk,Famously progressive San Francisco has among America 's most eco-friendly public policies and has declared itself a sanctuary to immigrants it considers persecuted by President Donald Trump 's administration .,1,-3.0029194543271736,0,3.0029194543271736
6260,1,"[1, 0, 1, 0, 0, 1, 0]",25685466,immigrant,ke,"Canada has managed to accept immigrants , yet it keeps its citizens happy at the same time . In fact , the only populist revolution was pro-immigrant ! It can all be managed , in a humane way ; feeling the pain of those who have left their homes in search of peace or prosperity .",1,-2.1526779429243916,0,2.1526779429243916
2342,1,"[1, 0, 1, 0, 0, 1, 0]",26120901,migrant,hk,"The measures have kept the migrants living in limbo . The overwhelming majority have not been granted asylum and they lead a tenuous existence , often at the whims of the government .",1,-2.0900095896460833,0,2.0900095896460833
2848,1,"[1, 0, 0, 0, 0, 0, 0]",1824078,poor-families,tz,Camfed would like to see this trend reversed . It would like to see more girls in school . Basic Education Statistics in Tanzania ( BEST 2010 ) show that only 18 percent of girls have completed secondary school education . This is why Camfed supports girls from poor families to obtain secondary education and its efforts have seen many go to university .,1,-2.0508946118195612,0,2.0508946118195612
5722,1,"[0, 0, 1, 0, 0, 1, 0]",14472216,hopeless,bd,"Calling for an immediate political solution to resolve the crisis in Syria , Erdogan said : "" Turkey 's incursion into northern Syria in early September had led to establishing peace , balance and stability in a region taken over by hopelessness "" .",1,-1.7157351497035025,0,1.7157351497035025
5248,1,"[0, 0, 0, 1, 0, 0, 0]",1940272,women,tz,"Maida noted that political issues should not twist women away from matters of development , the important thing is peace , and women must wake up , since they need economic revolution through peaceful means .",1,-1.6805564247524374,0,1.6805564247524374
7414,1,"[1, 0, 0, 0, 0, 0, 0]",9463750,disabled,hk,"Cheung said 20 disabled undergraduate students from seven universities will start their eight-week internship in government departments this month , receiving the same salaries as able-bodied colleagues of HK$9,600 a month .",1,-1.6134653173943971,0,1.6134653173943971
7726,1,"[1, 0, 0, 0, 0, 1, 0]",4749950,refugee,ie,"In Dublin , the Church of Ireland Archbishop Dr Michael Jackson reflected on the year drawing to a close and recalled the "" horrific conflagration at the halting site in Carrickmines "" and the death of Garda Tony Golden in Omeath , as well as the "" refugees fleeing from Syria "" and other parts of the Middle East and the "" forgotten peoples of Africa "" .",1,-1.6079729386315031,0,1.6079729386315031
9455,1,"[1, 0, 0, 0, 0, 0, 0]",40092352,vulnerable,ng,"Speaking at the event , which was part of activities marking the 58th Independence anniversary of Nigeria and 22 years of the State 's creation , Umahi noted that the vision of caring for the widows , the elderly and vulnerable was a divine assignment bestowed on",1,-1.599321475153985,0,1.599321475153985
4089,1,"[1, 0, 0, 0, 0, 0, 0]",25597822,homeless,pk,"In a 90-degree view of his constituency , one can see a high rise and a flyover while underneath it , homeless people sleep on pavements . "" As you can see , my constituency is not confined to one socio-economic group , "" he said , adding that apart from water , another major concern for him is to improve the standard of public schools in the area .",1,-1.5741842439136389,0,1.5741842439136389
6056,1,"[1, 1, 1, 0, 1, 1, 0]",4702454,refugee,my,"IdeaRaya spokesman Maryam Ramli Lee in an interview with Malay Mail Online , September 10 , 2015 . For human rights , Idearaya is shining a spotlight on marginalised communities such as refugees and migrant workers , while its focus for philosophy this year would be on educating children to express themselves philosophically .",1,-1.5710638474745575,0,1.5710638474745575
5552,1,"[1, 0, 0, 1, 0, 0, 0]",24417713,vulnerable,gh,The Minister said a society 's measure of its humanity is how it treats its weakest and most vulnerable members .,1,-1.5539913306192503,0,1.5539913306192503
3211,1,"[1, 0, 0, 0, 0, 1, 0]",20786174,refugee,jm,"In a statement , the UNHCR said it is "" alarmed and concerned "" by Tuesday 's incident and urged the "" public and all those concerned with refugees to continue extending protection and to show empathy for civilians fleeing persecution and violence . """,1,-1.5176215281753067,0,1.5176215281753067
4327,1,"[0, 0, 1, 0, 0, 1, 0]",14178322,women,gh,"If in addition ' miracles ' can be orchestrated then the acceptance and reverence become total . In a country where statistics state that unemployment is about 25 per cent but we know it is more like 70 per cent , where the next meal will come from is unpredictable and on a daily basis time just passes by ; it is not far-fetched for women to become prayer warriors for their children , husbands and siblings and are made to blame whatever is happening not on policies of the government but on the machinations of the devil .",1,-1.48002874582475,0,1.48002874582475
