record_id,binary_label,label_raw,article_id,keyword,country,text,y_true,prob_pos,y_pred,mistake_strength
6234,1,"[1, 0, 1, 0, 0, 0, 0]",4500,poor-families,us,"The World Health Organization did not give a reason for the increase in deaths , but a provincial health official in Sindh said that the disease hit areas where poor families did not vaccinate their children .",1,0.0033930452,0,-0.0033930452
5722,1,"[0, 0, 1, 0, 0, 1, 0]",14472216,hopeless,bd,"Calling for an immediate political solution to resolve the crisis in Syria , Erdogan said : "" Turkey 's incursion into northern Syria in early September had led to establishing peace , balance and stability in a region taken over by hopelessness "" .",1,0.003567794,0,-0.003567794
2918,1,"[1, 0, 0, 0, 1, 1, 0]",25173194,migrant,pk,Famously progressive San Francisco has among America 's most eco-friendly public policies and has declared itself a sanctuary to immigrants it considers persecuted by President Donald Trump 's administration .,1,0.0036980184,0,-0.0036980184
7414,1,"[1, 0, 0, 0, 0, 0, 0]",9463750,disabled,hk,"Cheung said 20 disabled undergraduate students from seven universities will start their eight-week internship in government departments this month , receiving the same salaries as able-bodied colleagues of HK$9,600 a month .",1,0.004074214,0,-0.004074214
4393,1,"[1, 0, 0, 0, 0, 0, 0]",4612305,disabled,bd,The law stipulated 21 rights of the disabled persons . The disabled persons must get the national identity cards and be listed in the voters roll . Even they will be able to contest in the polls .,1,0.0046469774,0,-0.0046469774
8722,1,"[1, 0, 1, 0, 0, 0, 0]",10135694,immigrant,ph,"But if the Supreme Court gives a favorable decision for the president , his immigration program would immediately take effect , changing the lives of eligible Filipino families and other immigrants .",1,0.004775789,0,-0.004775789
10326,1,"[1, 0, 1, 0, 0, 0, 0]",24549038,poor-families,hk,"A top health official said today that the government could consider subsidies to help poor families pay for healthy food -- or imposing taxes on unhealthy products -- if other efforts fail to encourage better eating habits among Hong Kong residents . Dr Regina Ching from the Health Department said such moves could be explored as a way to cut levels of chronic illnesses in the city , such ...",1,0.0052832756,0,-0.0052832756
10099,1,"[0, 0, 0, 0, 0, 1, 0]",25591563,vulnerable,au,"After a tragic event during his previous life as an FBI agent , Sawyer lost half a leg and developed an aversion to guns . So instead of the usual muscle-bound , wise-cracking , gun-toting cliche he 's often played , here he 's a vulnerable , disabled family man caught up in a twisted extortion plot .",1,0.005735987,0,-0.005735987
7040,1,"[0, 0, 1, 0, 0, 0, 0]",515536,poor-families,au,"Michael Gove 's recent suggestion that inadequate financial management skills among poor families are to blame for the increasing demand on food banks has , unsurprisingly , sparked an angry response . Critics feel the Conservative Party is out of touch with the pressures on ordinary families .",1,0.005858952,0,-0.005858952
2342,1,"[1, 0, 1, 0, 0, 1, 0]",26120901,migrant,hk,"The measures have kept the migrants living in limbo . The overwhelming majority have not been granted asylum and they lead a tenuous existence , often at the whims of the government .",1,0.0059317835,0,-0.0059317835
1648,1,"[1, 0, 0, 0, 0, 1, 1]",18432489,women,za,"Mari ? tte Coetzee from Stofberg Family Vineyards ( whose Mia Chenin Blanc 2016 was the garagiste trophy winner at last year 's Michelangelo Awards and the recipient of four Platter 's stars for the Mari ? tte Chenin Blanc 2016 ) , says : "" We can be extremely proud of the current women winemakers in our industry , especially considering most of them are juggling a family along with the long working hours .",1,0.006259486,0,-0.006259486
2848,1,"[1, 0, 0, 0, 0, 0, 0]",1824078,poor-families,tz,Camfed would like to see this trend reversed . It would like to see more girls in school . Basic Education Statistics in Tanzania ( BEST 2010 ) show that only 18 percent of girls have completed secondary school education . This is why Camfed supports girls from poor families to obtain secondary education and its efforts have seen many go to university .,1,0.010502829,0,-0.010502829
4560,1,"[0, 0, 1, 0, 0, 1, 0]",25759113,hopeless,tz,"Hundreds of thousand Africans are graduating per year . Different from 1980s and early 1990s when college outpours got immediately absorbed in the labour market , many today are jobless and hopeless .",1,0.010795978,0,-0.010795978
7913,1,"[0, 1, 0, 0, 0, 0, 0]",19868598,homeless,gb,Charity plans to forgo parking so homeless can have gym and medical centre,1,0.011113484,0,-0.011113484
1922,1,"[0, 0, 1, 1, 1, 0, 0]",20825894,hopeless,pk,"The Global Gender Gap Report 2016 has ranked Pakistan 143 out of 144 countries . This really demonstrates the failure of feminists who are hopeless to break the historical shackles of bondage on women and establish favorable political , educational , economic , and health conditions .",1,0.01135819,0,-0.01135819
2610,1,"[0, 0, 1, 0, 1, 1, 0]",21225361,immigrant,gh,"Nearly 15,000 West African teenagers leave their homes every year to play football in Europe . Few make good on their dreams . Some are lured by corrupt "" agents "" , smuggled across the searing Sahara and discarded in the streets of Europe , resigned to selling fake designer bags as undocumented immigrants . Others are nabbed by academies and feeder teams affiliated with European clubs and often dumped like bad stocks .",1,0.011377113,0,-0.011377113
5612,1,"[1, 1, 0, 1, 0, 0, 0]",14569230,homeless,tz,"He said the victims who are currently rendered homeless can now be relieved of troubles as the 5,000 iron sheets from Mwanza had arrived , with 1,200 already distributed to victims in Bukoba Municipality .",1,0.011706451,0,-0.011706451
773,1,"[1, 0, 1, 0, 0, 1, 0]",1759840,immigrant,us,"Sheepherding in America has always been an immigrant 's job , too dirty , too cold and too lonely for anyone with options .",1,0.013148839,0,-0.013148839
8330,1,"[0, 0, 1, 0, 0, 0, 0]",17252299,refugee,ng,"Many refugees do n't want to be resettled anywhere , let alone in the US .",1,0.013880816,0,-0.013880816
149,1,"[1, 0, 0, 0, 0, 0, 1]",1387882,disabled,us,"Krueger recently harnessed that creativity to self-publish a book featuring the poems , artwork , photography and short stories of 16 ill or disabled artists from around the world . She hopes the book , which contains some of her own work as well , will show how talented disabled people can be .",1,0.014114178,0,-0.014114178
582,1,"[1, 0, 0, 0, 0, 0, 0]",24462014,homeless,ie,"It 's calculated that over 204,000 days of purpose-built residential accommodation to otherwise potentially homeless elderly men and women have been delivered by this personally driven altruistic act alone .",1,0.014435283,0,-0.014435283
7111,1,"[0, 0, 1, 0, 0, 1, 0]",105756,vulnerable,ph,"Emmanuelle Riva in "" Amour , "" as a woman in her 80s whose mind and body deteriorate after a series of strokes , is even frailer , more vulnerable , and quite defenseless . The first time we saw Riva , in "" Hiroshima Mon Amour , "" we were struck by her sensual , yet patrician face . Now the sensuality is gone , but the dignity of that countenance remains .",1,0.015310854,0,-0.015310854
9925,1,"[0, 0, 0, 0, 1, 1, 0]",26311095,immigrant,gb,"THE jagged rocks , the stony beaches , the sweeping , heather covered hills ... the last views of the old country that faded from sight when a generation of immigrants set sail for the new world ( you can read that in Liam Neeson 's voice if you want ) .",1,0.015470885,0,-0.015470885
6907,1,"[1, 0, 1, 0, 0, 0, 0]",1870988,vulnerable,ke,""" We are taking a community that is fairly vulnerable and bringing them to a level where they are empowered . "" <h> VICTORIA KIOKO",1,0.015499113,0,-0.015499113
9119,1,"[1, 0, 1, 0, 0, 0, 0]",15701970,disabled,in,"NEW DELHI : Activists and medical professionals have lauded the government 's move to increase the ambit of the disabled list to offer benefits to acid attack survivors , those suffering from chronic neurological conditions , and haemophilia and sickle cell anaemia patients . This , they said , will help in integrating them into society .",1,0.01627646,0,-0.01627646
157,1,"[1, 1, 0, 0, 1, 1, 0]",21712008,poor-families,ca,"We are alarmed to learn of your recently circulated proposals that would eviscerate the Lifeline program and leave many of the most vulnerable people in the country without access to affordable communications . As you are well aware , the Lifeline program provides a modest monthly subsidy of $9.25 to connect low-income Americans to phone and internet services . As broadband prices continue to soar , and affordability continues to suffer , adoption gaps remain . The Lifeline program has proven critical for poor families and people of color who are caught on the wrong side of the digital divide .",1,0.017091589,0,-0.017091589
107,1,"[0, 0, 0, 0, 0, 0, 1]",16900972,homeless,ke,"His present "" chambers "" may be quite humble , but Shiyani has the tiny space very neatly organized and clean . Many people pass him by but do not manage to see him , because the space is partially hidden behind trees , which gives him a relative privacy . "" There are many homeless sleeping around the station , "" Captain Xoli Mbele , from the nearby Johannesburg Central Police station said .",1,0.017289396,0,-0.017289396
6546,1,"[1, 0, 1, 1, 1, 0, 1]",4699795,vulnerable,bd,"ICCCAD remains a strong advocate of local initiatives and supports the concept of Community Based Adaptation ( CBA ) . Solutions developed at the local level have the best chance of being successful since it is the poorest living in areas prone to storms , floods , and droughts who are most vulnerable and best understand what needs to be done . This approach seeks to give these communities a voice since it is powerlessness as much as location that makes these communities vulnerable to climate change .",1,0.017422562,0,-0.017422562
3861,1,"[1, 0, 0, 0, 1, 1, 0]",3066461,homeless,ph,"In time , when the housing backlog for the low middle- and low-income families will have been significantly whittled down to manageable levels , the government can start looking at ways and means to bring these "" lesser "" Filipinos into the embrace of economic health -- and away from that malady called homelessness .",1,0.017787827,0,-0.017787827
7918,1,"[1, 0, 0, 0, 0, 0, 0]",16413961,poor-families,ng,""" Nigeria 's tertiary education system is still elitist . We do n't make allowance for poor families , families that have not yet produced a university graduate . How do these people assess the university education ?",1,0.019628927,0,-0.019628927
