record_id,binary_label,label_raw,article_id,keyword,country,text,y_true,score,y_pred,mistake_strength
9549,0,"[0, 0, 0, 0, 0, 0, 0]",17320278,poor-families,ng,"Usually children of poor families remember their parents ' struggles and become generous to them as poverty early in life drove them to success . It is the children of the rich that feel a sense of entitlement that mostly becomes ungrateful to their parents . The same children that inflated their school fees and shared it equally with the bursar , regardless of their fathers ' sweat on the farm .",0,2.337267178269294,1,2.337267178269294
9423,0,"[0, 0, 0, 0, 0, 0, 0]",16072568,in-need,in,"Christmas is celebration of the birth of not merely a child , but a child who changed the destiny of humans forever . It is celebration of the fact that God wanted to be a part of the human race and so he took on flesh and blood and became human like us . We can also show unconditional love through our good deeds and helping those who are in need of our help and care . Be human and merciful .",0,2.3158047075424983,1,2.3158047075424983
10268,0,"[0, 0, 0, 0, 0, 0, 0]",24646531,vulnerable,gb,""" This new project will see an active engagement with the community to help improve the lives of vulnerable children and their families . "" <h> ' Enlightened local authorities '",0,2.186728434979059,1,2.186728434979059
8891,0,"[0, 0, 0, 0, 0, 0, 0]",15935785,homeless,ng,"6 years ago she lost her husband -- he died from heart disease , and since then Wood lives alone with her children and a dog . When she learnt about Michael and Cory 's terrible life problems , she realised she had to help . This woman has a big kind heart . There were 2 empty rooms in her house , so she invited the homeless to live there . Many people might consider her action as a madness but Mel says that since her husband 's death , she does n't fear anything .",0,2.184865203969978,1,2.184865203969978
9543,0,"[0, 0, 0, 0, 0, 0, 0]",20489291,poor-families,au,"Many of the children are from poor families , with parents convinced their children will have a better life at the orphanage , according to Lumos .",0,1.9042993674187605,1,1.9042993674187605
9741,0,"[0, 0, 0, 0, 0, 0, 0]",15223753,in-need,pk,"That one person who always needs help - it 's nice to be there for people and having someone there for you when you need them . However , there are a few people who are constantly in need of help and have reached a stage where they ca n't get even the simplest of things done independently . We 're not sure what to call them though , since they always manage to get their work done while you sit there wondering how , even after a day of hard work your checklist remains untouched . We wonder ! Tell them to get an assistant , if they ca n't afford that , there are always interns.",0,1.7844404526944695,1,1.7844404526944695
8838,0,"[0, 0, 0, 0, 0, 0, 0]",18300417,in-need,ph,""" I always consider this job as a gift , being a nurse is a reward and task given by God to help those who are in need . Seeing your patient recover from an illness , watching their families smile when you give them care , and hearing the first cry of a newborn are just some of the things that make my work special . It might be a heavy work but it can lighten your heart , "" she expressed .",0,1.7137444604628522,1,1.7137444604628522
8480,0,"[0, 0, 0, 0, 0, 0, 0]",20621234,hopeless,au,""" So we do need to heal ourselves as an Aboriginal Torres Strait islander community , but also as a nation . "" <h> A life of hope , not hopelessness",0,1.6493419751146283,1,1.6493419751146283
10101,0,"[0, 0, 0, 0, 0, 0, 0]",4573177,homeless,jm,"Mitchell said while Food For The Poor and a few church groups would assist the homeless sometimes , the government was dragging its feet where homeless persons are concerned .",0,1.6186537955303943,1,1.6186537955303943
9369,0,"[0, 0, 0, 0, 0, 0, 0]",20099540,homeless,ie,"As well as a resource centre that provides employment help , medical care and other vital advice , the charity runs hostels for the most vulnerable of homeless people who are otherwise sleeping on the streets .",0,1.5932399581131913,1,1.5932399581131913
