record_id,binary_label,label_raw,article_id,keyword,country,text,y_true,prob_pos,y_pred,mistake_strength
5722,1,"[0, 0, 1, 0, 0, 1, 0]",14472216,hopeless,bd,"Calling for an immediate political solution to resolve the crisis in Syria , Erdogan said : "" Turkey 's incursion into northern Syria in early September had led to establishing peace , balance and stability in a region taken over by hopelessness "" .",1,0.001866036,0,-0.001866036
6234,1,"[1, 0, 1, 0, 0, 0, 0]",4500,poor-families,us,"The World Health Organization did not give a reason for the increase in deaths , but a provincial health official in Sindh said that the disease hit areas where poor families did not vaccinate their children .",1,0.0021231724,0,-0.0021231724
7040,1,"[0, 0, 1, 0, 0, 0, 0]",515536,poor-families,au,"Michael Gove 's recent suggestion that inadequate financial management skills among poor families are to blame for the increasing demand on food banks has , unsurprisingly , sparked an angry response . Critics feel the Conservative Party is out of touch with the pressures on ordinary families .",1,0.002782122,0,-0.002782122
7414,1,"[1, 0, 0, 0, 0, 0, 0]",9463750,disabled,hk,"Cheung said 20 disabled undergraduate students from seven universities will start their eight-week internship in government departments this month , receiving the same salaries as able-bodied colleagues of HK$9,600 a month .",1,0.003086216,0,-0.003086216
2918,1,"[1, 0, 0, 0, 1, 1, 0]",25173194,migrant,pk,Famously progressive San Francisco has among America 's most eco-friendly public policies and has declared itself a sanctuary to immigrants it considers persecuted by President Donald Trump 's administration .,1,0.0037637919,0,-0.0037637919
10099,1,"[0, 0, 0, 0, 0, 1, 0]",25591563,vulnerable,au,"After a tragic event during his previous life as an FBI agent , Sawyer lost half a leg and developed an aversion to guns . So instead of the usual muscle-bound , wise-cracking , gun-toting cliche he 's often played , here he 's a vulnerable , disabled family man caught up in a twisted extortion plot .",1,0.00412426,0,-0.00412426
1922,1,"[0, 0, 1, 1, 1, 0, 0]",20825894,hopeless,pk,"The Global Gender Gap Report 2016 has ranked Pakistan 143 out of 144 countries . This really demonstrates the failure of feminists who are hopeless to break the historical shackles of bondage on women and establish favorable political , educational , economic , and health conditions .",1,0.0042888187,0,-0.0042888187
10326,1,"[1, 0, 1, 0, 0, 0, 0]",24549038,poor-families,hk,"A top health official said today that the government could consider subsidies to help poor families pay for healthy food -- or imposing taxes on unhealthy products -- if other efforts fail to encourage better eating habits among Hong Kong residents . Dr Regina Ching from the Health Department said such moves could be explored as a way to cut levels of chronic illnesses in the city , such ...",1,0.004314045,0,-0.004314045
1648,1,"[1, 0, 0, 0, 0, 1, 1]",18432489,women,za,"Mari ? tte Coetzee from Stofberg Family Vineyards ( whose Mia Chenin Blanc 2016 was the garagiste trophy winner at last year 's Michelangelo Awards and the recipient of four Platter 's stars for the Mari ? tte Chenin Blanc 2016 ) , says : "" We can be extremely proud of the current women winemakers in our industry , especially considering most of them are juggling a family along with the long working hours .",1,0.0043291356,0,-0.0043291356
5955,1,"[0, 0, 1, 1, 1, 1, 0]",10086998,hopeless,lk,"The indigenous Palestinians see themselves abandoned by the powerful nations of the UN . In sheer hopelessness and a sense of dehumization they are , regrettably , now resorting to nihilistic activities trying to harm Israeli Jews and getting killed every day by the trigger happy Israelis - civilians and security forces alike . It is a sad development in a region that has cried for justice for too long -- almost 70 years - only to be ignored and severely punished for their noncompliance to the Zionist dream of Eretz Israel .",1,0.004372868,0,-0.004372868
4393,1,"[1, 0, 0, 0, 0, 0, 0]",4612305,disabled,bd,The law stipulated 21 rights of the disabled persons . The disabled persons must get the national identity cards and be listed in the voters roll . Even they will be able to contest in the polls .,1,0.004395912,0,-0.004395912
8722,1,"[1, 0, 1, 0, 0, 0, 0]",10135694,immigrant,ph,"But if the Supreme Court gives a favorable decision for the president , his immigration program would immediately take effect , changing the lives of eligible Filipino families and other immigrants .",1,0.0048830253,0,-0.0048830253
7726,1,"[1, 0, 0, 0, 0, 1, 0]",4749950,refugee,ie,"In Dublin , the Church of Ireland Archbishop Dr Michael Jackson reflected on the year drawing to a close and recalled the "" horrific conflagration at the halting site in Carrickmines "" and the death of Garda Tony Golden in Omeath , as well as the "" refugees fleeing from Syria "" and other parts of the Middle East and the "" forgotten peoples of Africa "" .",1,0.004942948,0,-0.004942948
2351,1,"[0, 0, 0, 0, 1, 1, 0]",23798722,homeless,gh,"She remembers how hard being homeless hit her . She remembers , too , how she would try and act as mad as possible to intimidate people and stop them from coming close to her . She would turn as she walked and make loud noises so that people would leave her alone . How did she manage not to lose sight of her future while she was struggling for survival ? "" I handled my situation of being homeless pretty easily , "" she says with a bit of distance . "" I had football to focus on . I wanted to represent my country and I was n't going to let anything get in the way . """,1,0.006987144,0,-0.006987144
7913,1,"[0, 1, 0, 0, 0, 0, 0]",19868598,homeless,gb,Charity plans to forgo parking so homeless can have gym and medical centre,1,0.0077246283,0,-0.0077246283
2610,1,"[0, 0, 1, 0, 1, 1, 0]",21225361,immigrant,gh,"Nearly 15,000 West African teenagers leave their homes every year to play football in Europe . Few make good on their dreams . Some are lured by corrupt "" agents "" , smuggled across the searing Sahara and discarded in the streets of Europe , resigned to selling fake designer bags as undocumented immigrants . Others are nabbed by academies and feeder teams affiliated with European clubs and often dumped like bad stocks .",1,0.00799039,0,-0.00799039
582,1,"[1, 0, 0, 0, 0, 0, 0]",24462014,homeless,ie,"It 's calculated that over 204,000 days of purpose-built residential accommodation to otherwise potentially homeless elderly men and women have been delivered by this personally driven altruistic act alone .",1,0.009137243,0,-0.009137243
4327,1,"[0, 0, 1, 0, 0, 1, 0]",14178322,women,gh,"If in addition ' miracles ' can be orchestrated then the acceptance and reverence become total . In a country where statistics state that unemployment is about 25 per cent but we know it is more like 70 per cent , where the next meal will come from is unpredictable and on a daily basis time just passes by ; it is not far-fetched for women to become prayer warriors for their children , husbands and siblings and are made to blame whatever is happening not on policies of the government but on the machinations of the devil .",1,0.009403346,0,-0.009403346
7111,1,"[0, 0, 1, 0, 0, 1, 0]",105756,vulnerable,ph,"Emmanuelle Riva in "" Amour , "" as a woman in her 80s whose mind and body deteriorate after a series of strokes , is even frailer , more vulnerable , and quite defenseless . The first time we saw Riva , in "" Hiroshima Mon Amour , "" we were struck by her sensual , yet patrician face . Now the sensuality is gone , but the dignity of that countenance remains .",1,0.00976428,0,-0.00976428
2342,1,"[1, 0, 1, 0, 0, 1, 0]",26120901,migrant,hk,"The measures have kept the migrants living in limbo . The overwhelming majority have not been granted asylum and they lead a tenuous existence , often at the whims of the government .",1,0.010903732,0,-0.010903732
